"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"AARTIIND",38,366.18,350.15,13915,13305.7,-609.3,-4.38,0,""
"ABB",3,5021.5,4707.5,15064.5,14122.5,-942,-6.25,0,""
"ACC",5,2010.74,1688.5,10053.7,8442.5,-1611.2,-16.03,0,""
"ADANIENSOL",2,676.7,849.1,1353.4,1698.2,344.8,25.48,0,""
"ADANIENT",3,1414.27,1960.35,4242.8,5881.05,1638.25,38.61,0,""
"ADANIGREEN",4,709.03,799.1,2836.1,3196.4,360.3,12.7,0,""
"ADANIPORTS",3,820.1,1364.2,2460.3,4092.6,1632.3,66.35,0,""
"ADANIPOWER",10,118.08,134.5,1180.8,1345,164.2,13.91,0,""
"ALLCARGO",50,34.49,9.29,1724.3,464.5,-1259.8,-73.06,0,""
"AMBUJACEM",10,430.73,532.25,4307.25,5322.5,1015.25,23.57,0,""
"ANGELONE",2,1911.15,2545.8,3822.3,5091.6,1269.3,33.21,0,""
"APLAPOLLO",2,1765.13,2060.85,3530.25,4121.7,591.45,16.75,0,""
"APOLLOHOSP",1,6761.5,6795.15,6761.5,6795.15,33.65,0.5,0,""
"ARE&M",1,930.4,828.6,930.4,828.6,-101.8,-10.94,0,""
"ASHOKLEY",20,88.36,193,1767.25,3860,2092.75,118.42,0,""
"ASIANPAINT",10,2483.53,2624.9,24835.25,26249,1413.75,5.69,0,""
"ASTRAL",3,1496.77,1400.6,4490.3,4201.8,-288.5,-6.42,0,""
"AUBANK",11,837.82,963.55,9216,10599.05,1383.05,15.01,0,""
"AUROPHARMA",3,1182.37,1130.15,3547.1,3390.45,-156.65,-4.42,0,""
"AXISBANK",8,1109.44,1315.8,8875.5,10526.4,1650.9,18.6,0,""
"BAJAJELEC",12,650.76,386.6,7809.1,4639.2,-3169.9,-40.59,0,""
"BAJAJFINSV",3,1847.75,1917.7,5543.25,5753.1,209.85,3.79,0,""
"BAJFINANCE",12,920.33,915,11044,10980,-64,-0.58,0,""
"BALKRISIND",2,2684.2,2420.8,5368.4,4841.6,-526.8,-9.81,0,""
"BANKBARODA",7,182.3,302.15,1276.1,2115.05,838.95,65.74,0,""
"BDL",2,1109.4,1472.7,2218.8,2945.4,726.6,32.75,0,""
"BEL",28,240.06,416.35,6721.55,11657.8,4936.25,73.44,0,""
"BEML",2,1395.83,1658.7,2791.65,3317.4,525.75,18.83,0,""
"BERGEPAINT",4,507.83,495.35,2031.3,1981.4,-49.9,-2.46,0,""
"BHARATFORG",6,1314.5,1419.65,7887,8517.9,630.9,8,0,""
"BHARTIARTL",8,1042.25,1973.4,8338,15787.2,7449.2,89.34,0,""
"BHEL",10,245.84,247.9,2458.42,2479,20.58,0.84,0,""
"BIOCON",10,221.28,365.25,2212.75,3652.5,1439.75,65.07,0,""
"BIRET-RR",60,329.12,340.87,19747.12,20452.2,705.08,3.57,0,""
"BLUESTARCO",2,1343.65,1667.5,2687.3,3335,647.7,24.1,0,""
"BORORENEW",2,530,510.15,1060,1020.3,-39.7,-3.75,0,""
"BPCL",15,258.17,357.4,3872.55,5361,1488.45,38.44,0,""
"BRITANNIA",1,5500,5886,5500,5886,386,7.02,0,""
"CANBK",25,93.92,154.75,2348.08,3868.75,1520.67,64.76,0,""
"CDSL",2,572.38,1322.1,1144.75,2644.2,1499.45,130.98,0,""
"CHOLAFIN",1,752.3,1640.6,752.3,1640.6,888.3,118.08,0,""
"CIEINDIA",2,440.3,409.45,880.6,818.9,-61.7,-7.01,0,""
"CIPLA",7,1220.84,1313,8545.9,9191,645.1,7.55,0,""
"COALINDIA",29,345.14,422.9,10008.95,12264.1,2255.15,22.53,0,""
"COFORGE",3,1760.72,1665.6,5282.15,4996.8,-285.35,-5.4,0,""
"COLPAL",2,2361.5,2156.6,4723,4313.2,-409.8,-8.68,0,""
"CONCOR",7,563.19,485.95,3942.35,3401.65,-540.7,-13.72,0,""
"COROMANDEL",3,2252.33,2259.05,6757,6777.15,20.15,0.3,0,""
"DABUR",12,510.53,514.4,6126.4,6172.8,46.4,0.76,0,""
"DCBBANK",15,140.5,199.62,2107.45,2994.3,886.85,42.08,0,""
"DEEPAKNTR",3,1567.47,1556.65,4702.4,4669.95,-32.45,-0.69,0,""
"DELHIVERY",10,452.97,400.6,4529.7,4006,-523.7,-11.56,0,""
"DEVYANI",20,162.01,111.8,3240.2,2236,-1004.2,-30.99,0,""
"DIGITIDE",1,107.22,106.97,107.22,106.97,-0.25,-0.23,0,""
"DIVISLAB",2,6525,6058.15,13050,12116.3,-933.7,-7.15,0,""
"DLF",3,342.95,609.55,1028.85,1828.65,799.8,77.74,0,""
"DLINKINDIA",5,517.5,380.5,2587.5,1902.5,-685,-26.47,0,""
"DMART",1,4089.2,3670.8,4089.2,3670.8,-418.4,-10.23,0,""
"DRL",30,22.33,20.51,669.9,615.3,-54.6,-8.15,0,""
"DRREDDY",5,1232.07,1240,6160.35,6200,39.65,0.64,0,""
"EICHERMOT",1,4715,7164.5,4715,7164.5,2449.5,51.95,0,""
"EMBASSY-RR",32,407.99,430.56,13055.57,13777.92,722.35,5.53,0,""
"ENGINERSIN",5,202.64,164.6,1013.2,823,-190.2,-18.77,0,""
"EQUITASBNK",20,59.97,69.7,1199.45,1394,194.55,16.22,0,""
"ERIS",3,1738.8,1343.2,5216.4,4029.6,-1186.8,-22.75,0,""
"ESCORTS",1,2908,3475.95,2908,3475.95,567.95,19.53,0,""
"EXIDEIND",5,330.27,323.25,1651.35,1616.25,-35.1,-2.13,0,""
"FEDERALBNK",10,167.67,285,1676.69,2850,1173.31,69.98,0,""
"FORTIS",3,428.23,838.45,1284.7,2515.35,1230.65,95.79,0,""
"GAIL",17,150.05,160,2550.89,2720,169.11,6.63,0,""
"GLENMARK",4,1391.14,2001.05,5564.55,8004.2,2439.65,43.84,0,""
"GMDCLTD",2,588.15,529.65,1176.3,1059.3,-117,-9.95,0,""
"GODREJAGRO",7,548.31,517.45,3838.2,3622.15,-216.05,-5.63,0,""
"GODREJCP",8,1221.1,1174.05,9768.8,9392.4,-376.4,-3.85,0,""
"GODREJPROP",1,1950.05,1517.9,1950.05,1517.9,-432.15,-22.16,0,""
"GOLDIETF",30,119,136.32,3569.89,4089.6,519.71,14.56,0,""
"GPPL",10,156.53,161.19,1565.3,1611.9,46.6,2.98,0,""
"GRANULES",5,423.11,579.1,2115.55,2895.5,779.95,36.87,0,""
